experiment;asymptotic;rewritten real time;rewritten user time;rewritten sys time;rewritten meval time
release-0-bounded-lhs-0-always;baseline;0.421;0.400;0.010;0.35361
release-0-bounded-lhs-0-always;2n;0.969;0.947;0.012;0.846497
release-0-bounded-lhs-0-always;2l;0.822;0.802;0.012;0.71468
release-0-bounded-lhs-0-always;2c;1.984;1.958;0.014;1.76327
release-0-bounded-lhs-0-always;4n;2.218;2.193;0.014;1.9031
release-0-bounded-lhs-0-always;4l;1.729;1.703;0.020;1.52536
release-0-bounded-lhs-0-always;4c;9.405;9.360;0.032;8.14656
release-0-bounded-lhs-0-always;8n;5.049;5.016;0.022;4.19429
release-0-bounded-lhs-0-always;8l;3.572;3.540;0.023;3.18512
release-0-bounded-lhs-0-always;8c;43.470;43.341;0.115;36.1352
release-0-bounded-lhs-0-always;baseline;0.401;0.382;0.014;0.337586
release-0-bounded-lhs-0-always;2n;0.936;0.914;0.012;0.815859
release-0-bounded-lhs-0-always;2l;0.807;0.786;0.015;0.700226
release-0-bounded-lhs-0-always;2c;1.939;1.916;0.014;1.72286
release-0-bounded-lhs-0-always;4n;2.191;2.168;0.014;1.87802
release-0-bounded-lhs-0-always;4l;1.743;1.721;0.014;1.54196
release-0-bounded-lhs-0-always;4c;9.582;9.522;0.036;8.29242
release-0-bounded-lhs-0-always;8n;5.156;5.125;0.021;4.2934
release-0-bounded-lhs-0-always;8l;3.581;3.550;0.021;3.19692
release-0-bounded-lhs-0-always;8c;43.973;43.853;0.101;36.6196
release-0-bounded-lhs-0-always;baseline;0.415;0.396;0.014;0.351137
release-0-bounded-lhs-0-always;2n;0.934;0.915;0.011;0.817507
release-0-bounded-lhs-0-always;2l;0.828;0.806;0.014;0.716967
release-0-bounded-lhs-0-always;2c;1.950;1.927;0.013;1.73362
release-0-bounded-lhs-0-always;4n;2.188;2.165;0.013;1.87848
release-0-bounded-lhs-0-always;4l;1.755;1.707;0.013;1.52832
release-0-bounded-lhs-0-always;4c;9.506;9.465;0.035;8.23997
release-0-bounded-lhs-0-always;8n;5.102;5.071;0.025;4.23855
release-0-bounded-lhs-0-always;8l;3.588;3.559;0.018;3.20602
