experiment;asymptotic;rewritten real time;rewritten user time;rewritten sys time;rewritten meval time
release-0-bounded-lhs-0-always;baseline;0.427;0.408;0.014;0.36033
release-0-bounded-lhs-0-always;2n;1.074;1.050;0.013;0.949426
release-0-bounded-lhs-0-always;2l;0.863;0.843;0.015;0.753021
release-0-bounded-lhs-0-always;2c;2.330;2.295;0.023;2.08229
release-0-bounded-lhs-0-always;4n;2.624;2.585;0.029;2.26214
release-0-bounded-lhs-0-always;4l;1.881;1.853;0.017;1.67077
release-0-bounded-lhs-0-always;4c;10.298;10.202;0.052;8.87485
release-0-bounded-lhs-0-always;8n;5.421;5.381;0.029;4.51087
release-0-bounded-lhs-0-always;8l;3.823;3.789;0.026;3.42556
release-0-bounded-lhs-0-always;8c;46.637;46.455;0.145;38.9184
release-0-bounded-lhs-0-always;baseline;0.425;0.406;0.014;0.360862
release-0-bounded-lhs-0-always;2n;1.019;0.983;0.012;0.88435
release-0-bounded-lhs-0-always;2l;0.888;0.867;0.013;0.774203
release-0-bounded-lhs-0-always;2c;2.084;2.056;0.021;1.85653
release-0-bounded-lhs-0-always;4n;2.345;2.319;0.017;2.01796
release-0-bounded-lhs-0-always;4l;1.805;1.778;0.017;1.59883
release-0-bounded-lhs-0-always;4c;10.034;9.978;0.041;8.66884
release-0-bounded-lhs-0-always;8n;5.439;5.399;0.033;4.52315
release-0-bounded-lhs-0-always;8l;3.790;3.758;0.022;3.39877
release-0-bounded-lhs-0-always;8c;46.700;46.524;0.155;38.9884
release-0-bounded-lhs-0-always;baseline;0.410;0.391;0.010;0.347049
release-0-bounded-lhs-0-always;2n;0.986;0.964;0.013;0.86584
release-0-bounded-lhs-0-always;2l;0.872;0.852;0.016;0.760326
release-0-bounded-lhs-0-always;2c;2.107;2.081;0.020;1.87937
release-0-bounded-lhs-0-always;4n;2.350;2.323;0.021;2.02272
release-0-bounded-lhs-0-always;4l;1.819;1.794;0.016;1.61674
release-0-bounded-lhs-0-always;4c;10.149;10.066;0.047;8.7476
release-0-bounded-lhs-0-always;8n;5.401;5.360;0.031;4.49749
release-0-bounded-lhs-0-always;8l;3.896;3.860;0.025;3.49468
release-0-bounded-lhs-0-always;8c;46.392;46.210;0.156;38.6522
release-0-bounded-lhs-0-always;baseline;0.432;0.412;0.016;0.365697
release-0-bounded-lhs-0-always;2n;1.020;0.998;0.012;0.898013
release-0-bounded-lhs-0-always;2l;0.914;0.866;0.015;0.773832
release-0-bounded-lhs-0-always;2c;2.125;2.098;0.016;1.89704
release-0-bounded-lhs-0-always;4n;2.390;2.361;0.023;2.05495
release-0-bounded-lhs-0-always;4l;1.806;1.782;0.019;1.60574
release-0-bounded-lhs-0-always;4c;10.391;10.333;0.047;8.96089
release-0-bounded-lhs-0-always;8n;5.419;5.381;0.026;4.515
release-0-bounded-lhs-0-always;8l;3.918;3.883;0.025;3.51072
release-0-bounded-lhs-0-always;8c;46.373;46.188;0.156;38.6495
release-0-bounded-lhs-0-always;baseline;0.422;0.404;0.010;0.357499
release-0-bounded-lhs-0-always;2n;1.022;0.997;0.016;0.897319
release-0-bounded-lhs-0-always;2l;0.862;0.840;0.013;0.748176
release-0-bounded-lhs-0-always;2c;2.119;2.088;0.026;1.88221
release-0-bounded-lhs-0-always;4n;2.344;2.317;0.021;2.01972
release-0-bounded-lhs-0-always;4l;1.789;1.764;0.017;1.58716
release-0-bounded-lhs-0-always;4c;10.056;9.997;0.044;8.68509
release-0-bounded-lhs-0-always;8n;5.480;5.439;0.033;4.56763
release-0-bounded-lhs-0-always;8l;3.836;3.800;0.025;3.43418
release-0-bounded-lhs-0-always;8c;46.459;46.277;0.153;38.7661
release-0-bounded-lhs-0-always;baseline;0.423;0.404;0.013;0.358724
release-0-bounded-lhs-0-always;2n;1.017;0.992;0.020;0.890548
release-0-bounded-lhs-0-always;2l;0.901;0.858;0.015;0.766895
release-0-bounded-lhs-0-always;2c;2.086;2.060;0.017;1.85942
release-0-bounded-lhs-0-always;4n;2.371;2.343;0.018;2.03555
release-0-bounded-lhs-0-always;4l;1.827;1.801;0.017;1.62272
