experiment;asymptotic;rewritten real time;rewritten user time;rewritten sys time;rewritten meval time
trigger-0-bounded-lhs-0-historically;baseline;0.363;0.342;0.017;0.292082
trigger-0-bounded-lhs-0-historically;2n;0.755;0.733;0.012;0.639579
trigger-0-bounded-lhs-0-historically;2l;0.656;0.632;0.013;0.541237
trigger-0-bounded-lhs-0-historically;2c;1.516;1.486;0.018;1.28592
trigger-0-bounded-lhs-0-historically;4n;1.797;1.768;0.018;1.46732
trigger-0-bounded-lhs-0-historically;4l;1.364;1.321;0.024;1.151
trigger-0-bounded-lhs-0-historically;4c;7.197;7.128;0.057;5.91548
trigger-0-bounded-lhs-0-historically;8n;3.942;3.895;0.033;3.08105
trigger-0-bounded-lhs-0-historically;8l;2.591;2.551;0.028;2.21331
trigger-0-bounded-lhs-0-historically;8c;31.907;31.699;0.187;24.7903
trigger-0-bounded-lhs-0-historically;baseline;0.316;0.298;0.010;0.252018
trigger-0-bounded-lhs-0-historically;2n;0.748;0.724;0.014;0.630196
trigger-0-bounded-lhs-0-historically;2l;0.639;0.618;0.011;0.52947
trigger-0-bounded-lhs-0-historically;2c;1.589;1.555;0.022;1.35269
trigger-0-bounded-lhs-0-historically;4n;1.747;1.693;0.022;1.39826
trigger-0-bounded-lhs-0-historically;4l;1.285;1.256;0.023;1.08516
trigger-0-bounded-lhs-0-historically;4c;7.110;7.043;0.053;5.84545
trigger-0-bounded-lhs-0-historically;8n;3.928;3.880;0.036;3.06184
trigger-0-bounded-lhs-0-historically;8l;2.593;2.555;0.026;2.20723
trigger-0-bounded-lhs-0-historically;8c;31.840;31.629;0.183;24.7076
trigger-0-bounded-lhs-0-historically;baseline;0.320;0.300;0.010;0.253111
trigger-0-bounded-lhs-0-historically;2n;0.764;0.740;0.014;0.643621
trigger-0-bounded-lhs-0-historically;2l;0.644;0.621;0.018;0.53167
trigger-0-bounded-lhs-0-historically;2c;1.561;1.530;0.026;1.33017
trigger-0-bounded-lhs-0-historically;4n;1.756;1.723;0.027;1.43045
trigger-0-bounded-lhs-0-historically;4l;1.324;1.296;0.017;1.12023
trigger-0-bounded-lhs-0-historically;4c;7.041;6.978;0.050;5.78939
trigger-0-bounded-lhs-0-historically;8n;3.932;3.888;0.033;3.05813
trigger-0-bounded-lhs-0-historically;8l;2.597;2.557;0.031;2.21371
trigger-0-bounded-lhs-0-historically;8c;32.030;31.806;0.193;24.8144
trigger-0-bounded-lhs-0-historically;baseline;0.328;0.308;0.014;0.260263
trigger-0-bounded-lhs-0-historically;2n;0.762;0.739;0.014;0.64301
trigger-0-bounded-lhs-0-historically;2l;0.632;0.610;0.017;0.521737
trigger-0-bounded-lhs-0-historically;2c;1.544;1.516;0.020;1.31493
trigger-0-bounded-lhs-0-historically;4n;1.721;1.692;0.020;1.40202
trigger-0-bounded-lhs-0-historically;4l;1.288;1.258;0.020;1.08624
trigger-0-bounded-lhs-0-historically;4c;7.179;7.112;0.055;5.9009
trigger-0-bounded-lhs-0-historically;8n;4.295;4.234;0.043;3.35731
trigger-0-bounded-lhs-0-historically;8l;2.766;2.722;0.033;2.36539
trigger-0-bounded-lhs-0-historically;8c;32.239;32.022;0.186;25.1052
trigger-0-bounded-lhs-0-historically;baseline;0.332;0.313;0.012;0.266041
trigger-0-bounded-lhs-0-historically;2n;0.743;0.721;0.013;0.624034
trigger-0-bounded-lhs-0-historically;2l;0.654;0.629;0.021;0.538915
trigger-0-bounded-lhs-0-historically;2c;1.594;1.540;0.026;1.33813
trigger-0-bounded-lhs-0-historically;4n;1.758;1.722;0.029;1.43235
trigger-0-bounded-lhs-0-historically;4l;1.293;1.265;0.022;1.08919
trigger-0-bounded-lhs-0-historically;4c;7.094;7.028;0.056;5.81526
trigger-0-bounded-lhs-0-historically;8n;3.935;3.891;0.035;3.06199
trigger-0-bounded-lhs-0-historically;8l;2.602;2.563;0.029;2.22043
trigger-0-bounded-lhs-0-historically;8c;31.917;31.707;0.186;24.7439
trigger-0-bounded-lhs-0-historically;baseline;0.333;0.313;0.011;0.264119
