experiment;asymptotic;native real time;native user time;native sys time;native trigger time;native meval time
trigger-0-bounded-lhs-0-historically;baseline;0.151;0.131;0.009;0.033379;0.083092
trigger-0-bounded-lhs-0-historically;2n;0.310;0.287;0.011;0.058201;0.191409
trigger-0-bounded-lhs-0-historically;2l;0.284;0.260;0.015;0.073065;0.167446
trigger-0-bounded-lhs-0-historically;2c;0.623;0.594;0.018;0.115465;0.399519
trigger-0-bounded-lhs-0-historically;4n;0.686;0.658;0.015;0.125381;0.37293
trigger-0-bounded-lhs-0-historically;4l;0.572;0.545;0.020;0.152963;0.356353
trigger-0-bounded-lhs-0-historically;4c;2.859;2.787;0.047;0.518532;1.57855
trigger-0-bounded-lhs-0-historically;8n;1.546;1.509;0.026;0.309919;0.745281
trigger-0-bounded-lhs-0-historically;8l;1.127;1.090;0.024;0.311879;0.71659
trigger-0-bounded-lhs-0-historically;8c;12.727;12.582;0.133;2.48129;6.02923
trigger-0-bounded-lhs-0-historically;baseline;0.145;0.126;0.014;0.032382;0.079741
trigger-0-bounded-lhs-0-historically;2n;0.307;0.283;0.015;0.057137;0.187795
trigger-0-bounded-lhs-0-historically;2l;0.284;0.262;0.013;0.074291;0.168471
trigger-0-bounded-lhs-0-historically;2c;0.616;0.591;0.016;0.115056;0.39728
trigger-0-bounded-lhs-0-historically;4n;0.676;0.648;0.017;0.124936;0.367978
trigger-0-bounded-lhs-0-historically;4l;0.565;0.538;0.018;0.150891;0.350671
trigger-0-bounded-lhs-0-historically;4c;2.841;2.793;0.037;0.519002;1.58129
trigger-0-bounded-lhs-0-historically;8n;1.510;1.478;0.021;0.304577;0.73158
trigger-0-bounded-lhs-0-historically;8l;1.118;1.087;0.024;0.310135;0.715037
trigger-0-bounded-lhs-0-historically;8c;12.761;12.620;0.129;2.50422;6.07273
trigger-0-bounded-lhs-0-historically;baseline;0.147;0.127;0.010;0.032463;0.07991
trigger-0-bounded-lhs-0-historically;2n;0.309;0.286;0.014;0.057985;0.189601
trigger-0-bounded-lhs-0-historically;2l;0.281;0.259;0.011;0.073073;0.166656
trigger-0-bounded-lhs-0-historically;2c;0.622;0.598;0.018;0.115914;0.403751
trigger-0-bounded-lhs-0-historically;4n;0.675;0.651;0.019;0.125015;0.369692
trigger-0-bounded-lhs-0-historically;4l;0.563;0.538;0.019;0.151225;0.351879
trigger-0-bounded-lhs-0-historically;4c;2.848;2.798;0.041;0.517067;1.58553
trigger-0-bounded-lhs-0-historically;8n;1.511;1.478;0.026;0.297943;0.726378
trigger-0-bounded-lhs-0-historically;8l;1.122;1.091;0.021;0.31333;0.716508
