experiment;rewritten real time;rewritten user time;rewritten sys time;rewritten meval time;native real time;native user time;native sys time;native trigger time;native meval time
trigger-0-bounded-lhs-0-historically;7.266;6.993;0.098;6.1105;3.026;2.963;0.045;0.817879;1.93617
trigger-0-bounded-lhs-0-historically;7.108;6.966;0.094;6.09407;3.083;3.016;0.055;0.836611;1.97251
trigger-0-bounded-lhs-0-historically;6.828;6.719;0.083;5.8482;3.091;3.023;0.055;0.835299;1.97702
trigger-0-bounded-lhs-0-historically;6.798;6.697;0.082;5.83431;3.106;3.040;0.056;0.837146;1.98603
trigger-0-bounded-lhs-0-historically;6.811;6.711;0.083;5.84273;3.094;3.027;0.053;0.833972;1.96972
trigger-0-bounded-lhs-0-historically;6.888;6.778;0.083;5.90795;3.097;3.029;0.058;0.837657;1.98338
trigger-0-bounded-lhs-0-historically;6.763;6.667;0.075;5.80723;3.029;2.963;0.057;0.820273;1.93761
trigger-0-bounded-lhs-0-historically;6.891;6.781;0.084;5.91557;3.050;2.983;0.059;0.824934;1.94306
trigger-0-bounded-lhs-0-historically;6.922;6.797;0.085;5.93416;3.115;3.048;0.052;0.843733;1.98721
trigger-0-bounded-lhs-0-historically;6.786;6.692;0.081;5.83255;3.096;3.028;0.050;0.847467;1.98346
trigger-0-bounded-lhs-0-since;4.937;4.858;0.062;4.1948;2.168;2.109;0.047;0.506543;1.35293
trigger-0-bounded-lhs-0-since;4.955;4.881;0.063;4.23656;2.152;2.094;0.043;0.504969;1.34926
trigger-0-bounded-lhs-0-since;4.924;4.847;0.062;4.19753;2.130;2.074;0.045;0.498985;1.33426
trigger-0-bounded-lhs-0-since;4.909;4.836;0.061;4.19028;2.158;2.099;0.050;0.503154;1.35248
trigger-0-bounded-lhs-0-since;4.906;4.831;0.057;4.17875;2.134;2.078;0.043;0.498251;1.32941
trigger-0-bounded-lhs-0-since;4.960;4.883;0.066;4.22527;2.186;2.129;0.049;0.51295;1.36091
trigger-0-bounded-lhs-0-since;4.981;4.899;0.065;4.22703;2.154;2.098;0.049;0.503096;1.33959
