experiment;asymptotic;native real time;native user time;native sys time;native trigger time;native meval time
trigger-0-bounded-lhs-0-historically;baseline;0.152;0.130;0.015;0.033753;0.082171
trigger-0-bounded-lhs-0-historically;2n;0.356;0.330;0.018;0.070699;0.230385
trigger-0-bounded-lhs-0-historically;2l;0.316;0.291;0.013;0.082905;0.190033
trigger-0-bounded-lhs-0-historically;2c;0.700;0.671;0.017;0.144555;0.47987
trigger-0-bounded-lhs-0-historically;4n;0.741;0.710;0.019;0.142582;0.409876
trigger-0-bounded-lhs-0-historically;4l;0.598;0.569;0.018;0.15549;0.36589
trigger-0-bounded-lhs-0-historically;4c;3.269;3.197;0.057;0.622347;1.84818
trigger-0-bounded-lhs-0-historically;8n;1.768;1.720;0.035;0.361709;0.863637
trigger-0-bounded-lhs-0-historically;8l;1.369;1.317;0.040;0.388472;0.898491
trigger-0-bounded-lhs-0-historically;8c;14.227;14.032;0.178;2.99956;7.08054
trigger-0-bounded-lhs-0-historically;baseline;0.156;0.137;0.010;0.035659;0.086468
trigger-0-bounded-lhs-0-historically;2n;0.321;0.299;0.015;0.063017;0.206144
trigger-0-bounded-lhs-0-historically;2l;0.303;0.279;0.019;0.081437;0.183209
trigger-0-bounded-lhs-0-historically;2c;0.676;0.647;0.018;0.138165;0.459008
trigger-0-bounded-lhs-0-historically;4n;0.785;0.755;0.027;0.156009;0.439044
trigger-0-bounded-lhs-0-historically;4l;0.675;0.643;0.023;0.17933;0.420949
trigger-0-bounded-lhs-0-historically;4c;3.246;3.175;0.056;0.621687;1.83327
trigger-0-bounded-lhs-0-historically;8n;1.687;1.646;0.029;0.345075;0.824122
trigger-0-bounded-lhs-0-historically;8l;1.202;1.165;0.029;0.340996;0.778985
trigger-0-bounded-lhs-0-historically;8c;14.578;14.391;0.165;3.13495;7.28845
trigger-0-bounded-lhs-0-historically;baseline;0.150;0.131;0.015;0.03429;0.082868
trigger-0-bounded-lhs-0-historically;2n;0.341;0.319;0.012;0.068019;0.22209
trigger-0-bounded-lhs-0-historically;2l;0.296;0.274;0.016;0.078968;0.179028
trigger-0-bounded-lhs-0-historically;2c;0.744;0.707;0.029;0.159699;0.513705
trigger-0-bounded-lhs-0-historically;4n;0.768;0.739;0.019;0.150582;0.424489
trigger-0-bounded-lhs-0-historically;4l;0.595;0.569;0.019;0.155004;0.366133
trigger-0-bounded-lhs-0-historically;4c;3.150;3.093;0.045;0.607014;1.78069
trigger-0-bounded-lhs-0-historically;8n;1.656;1.617;0.027;0.343675;0.81508
trigger-0-bounded-lhs-0-historically;8l;1.194;1.159;0.027;0.333569;0.766968
trigger-0-bounded-lhs-0-historically;8c;14.551;14.372;0.158;3.13112;7.31738
trigger-0-bounded-lhs-0-historically;baseline;0.160;0.138;0.014;0.036027;0.087622
trigger-0-bounded-lhs-0-historically;2n;0.328;0.307;0.011;0.065126;0.212974
trigger-0-bounded-lhs-0-historically;2l;0.296;0.272;0.014;0.077782;0.176832
trigger-0-bounded-lhs-0-historically;2c;0.727;0.696;0.021;0.150797;0.493193
trigger-0-bounded-lhs-0-historically;4n;0.745;0.716;0.018;0.14394;0.411588
trigger-0-bounded-lhs-0-historically;4l;0.578;0.551;0.017;0.153455;0.356577
trigger-0-bounded-lhs-0-historically;4c;3.241;3.181;0.050;0.616741;1.82819
trigger-0-bounded-lhs-0-historically;8n;1.728;1.688;0.031;0.359804;0.84957
trigger-0-bounded-lhs-0-historically;8l;1.205;1.170;0.028;0.334759;0.774811
trigger-0-bounded-lhs-0-historically;8c;13.991;13.809;0.156;2.96762;6.94127
trigger-0-bounded-lhs-0-historically;baseline;0.152;0.131;0.012;0.034656;0.082742
trigger-0-bounded-lhs-0-historically;2n;0.317;0.294;0.012;0.061698;0.20305
trigger-0-bounded-lhs-0-historically;2l;0.280;0.259;0.017;0.07409;0.168678
trigger-0-bounded-lhs-0-historically;2c;0.644;0.617;0.024;0.131788;0.438022
trigger-0-bounded-lhs-0-historically;4n;0.718;0.689;0.018;0.140848;0.398212
trigger-0-bounded-lhs-0-historically;4l;0.589;0.562;0.018;0.153601;0.362357
trigger-0-bounded-lhs-0-historically;4c;2.991;2.938;0.048;0.574089;1.68785
trigger-0-bounded-lhs-0-historically;8n;1.574;1.539;0.026;0.316673;0.761089
trigger-0-bounded-lhs-0-historically;8l;1.176;1.141;0.026;0.328054;0.75459
trigger-0-bounded-lhs-0-historically;8c;13.476;13.311;0.149;2.86367;6.69091
trigger-0-bounded-lhs-0-historically;baseline;0.150;0.130;0.015;0.033488;0.082127
trigger-0-bounded-lhs-0-historically;2n;0.311;0.291;0.011;0.061715;0.199979
trigger-0-bounded-lhs-0-historically;2l;0.295;0.274;0.017;0.078298;0.17799
trigger-0-bounded-lhs-0-historically;2c;0.652;0.626;0.017;0.133477;0.442735
trigger-0-bounded-lhs-0-historically;4n;0.728;0.702;0.016;0.14199;0.402418
trigger-0-bounded-lhs-0-historically;4l;0.579;0.554;0.015;0.150205;0.356131
trigger-0-bounded-lhs-0-historically;4c;3.025;2.969;0.046;0.578639;1.71236
trigger-0-bounded-lhs-0-historically;8n;1.587;1.551;0.023;0.316302;0.766313
trigger-0-bounded-lhs-0-historically;8l;1.152;1.119;0.021;0.319271;0.741928
trigger-0-bounded-lhs-0-historically;8c;13.396;13.235;0.150;2.76367;6.59033
trigger-0-bounded-lhs-0-historically;baseline;0.161;0.139;0.014;0.035759;0.087666
trigger-0-bounded-lhs-0-historically;2n;0.331;0.308;0.012;0.066041;0.21432
trigger-0-bounded-lhs-0-historically;2l;0.290;0.268;0.016;0.076211;0.17535
trigger-0-bounded-lhs-0-historically;2c;0.644;0.618;0.020;0.131306;0.439647
trigger-0-bounded-lhs-0-historically;4n;0.725;0.699;0.015;0.141198;0.401777
trigger-0-bounded-lhs-0-historically;4l;0.583;0.556;0.022;0.151208;0.359441
trigger-0-bounded-lhs-0-historically;4c;2.978;2.925;0.040;0.559094;1.6707
trigger-0-bounded-lhs-0-historically;8n;1.604;1.568;0.028;0.330842;0.784269
trigger-0-bounded-lhs-0-historically;8l;1.168;1.134;0.024;0.323277;0.749162
trigger-0-bounded-lhs-0-historically;8c;13.483;13.326;0.141;2.81358;6.6721
trigger-0-bounded-lhs-0-historically;baseline;0.154;0.136;0.010;0.035571;0.085686
trigger-0-bounded-lhs-0-historically;2n;0.326;0.304;0.016;0.063989;0.209838
trigger-0-bounded-lhs-0-historically;2l;0.282;0.261;0.017;0.074039;0.170527
trigger-0-bounded-lhs-0-historically;2c;0.657;0.630;0.015;0.134287;0.447244
trigger-0-bounded-lhs-0-historically;4n;0.709;0.683;0.020;0.13676;0.392242
trigger-0-bounded-lhs-0-historically;4l;0.580;0.552;0.021;0.150232;0.354411
trigger-0-bounded-lhs-0-historically;4c;2.987;2.934;0.045;0.558776;1.67222
trigger-0-bounded-lhs-0-historically;8n;1.577;1.543;0.022;0.320507;0.778543
trigger-0-bounded-lhs-0-historically;8l;1.301;1.147;0.032;0.331831;0.764154
trigger-0-bounded-lhs-0-historically;8c;13.321;13.167;0.143;2.71833;6.52639
trigger-0-bounded-lhs-0-historically;baseline;0.145;0.126;0.014;0.032568;0.079467
trigger-0-bounded-lhs-0-historically;2n;0.327;0.305;0.016;0.065519;0.211482
trigger-0-bounded-lhs-0-historically;2l;0.282;0.262;0.010;0.07435;0.170354
trigger-0-bounded-lhs-0-historically;2c;0.647;0.623;0.017;0.13277;0.442995
trigger-0-bounded-lhs-0-historically;4n;0.709;0.684;0.020;0.137028;0.390313
trigger-0-bounded-lhs-0-historically;4l;0.600;0.570;0.018;0.156182;0.369814
trigger-0-bounded-lhs-0-historically;4c;2.966;2.913;0.048;0.553421;1.66579
trigger-0-bounded-lhs-0-historically;8n;1.578;1.542;0.026;0.319982;0.765442
trigger-0-bounded-lhs-0-historically;8l;1.169;1.135;0.029;0.324807;0.75375
trigger-0-bounded-lhs-0-historically;8c;13.371;13.214;0.146;2.76898;6.56464
trigger-0-bounded-lhs-0-historically;baseline;0.154;0.132;0.013;0.034013;0.082862
trigger-0-bounded-lhs-0-historically;2n;0.328;0.305;0.014;0.066496;0.213207
trigger-0-bounded-lhs-0-historically;2l;0.292;0.267;0.020;0.076479;0.173719
trigger-0-bounded-lhs-0-historically;2c;0.641;0.614;0.018;0.133294;0.436639
trigger-0-bounded-lhs-0-historically;4n;0.722;0.694;0.016;0.139256;0.398087
trigger-0-bounded-lhs-0-historically;4l;0.589;0.564;0.015;0.153819;0.363082
trigger-0-bounded-lhs-0-historically;4c;2.941;2.889;0.043;0.548253;1.65364
trigger-0-bounded-lhs-0-historically;8n;1.581;1.545;0.025;0.315867;0.763334
trigger-0-bounded-lhs-0-historically;8l;1.167;1.134;0.022;0.325434;0.753808
trigger-0-bounded-lhs-0-historically;8c;13.464;13.305;0.142;2.84406;6.65999
trigger-0-bounded-lhs-0-since;baseline;0.112;0.092;0.015;0.022278;0.056754
trigger-0-bounded-lhs-0-since;2n;0.228;0.205;0.016;0.038712;0.132225
trigger-0-bounded-lhs-0-since;2l;0.216;0.192;0.013;0.049592;0.119645
trigger-0-bounded-lhs-0-since;2c;0.459;0.430;0.018;0.084738;0.288467
trigger-0-bounded-lhs-0-since;4n;0.504;0.478;0.014;0.083686;0.287129
trigger-0-bounded-lhs-0-since;4l;0.433;0.383;0.020;0.089058;0.236308
trigger-0-bounded-lhs-0-since;4c;2.073;2.025;0.035;0.34078;1.26886
trigger-0-bounded-lhs-0-since;8n;1.102;1.069;0.023;0.19259;0.528506
trigger-0-bounded-lhs-0-since;8l;0.793;0.762;0.019;0.186353;0.483781
trigger-0-bounded-lhs-0-since;8c;9.132;9.005;0.117;1.60118;4.43613
trigger-0-bounded-lhs-0-since;baseline;0.113;0.094;0.009;0.022936;0.05838
trigger-0-bounded-lhs-0-since;2n;0.215;0.195;0.010;0.036586;0.124549
trigger-0-bounded-lhs-0-since;2l;0.210;0.188;0.012;0.047921;0.116898
trigger-0-bounded-lhs-0-since;2c;0.440;0.418;0.012;0.082648;0.282184
trigger-0-bounded-lhs-0-since;4n;0.494;0.470;0.014;0.082718;0.28199
trigger-0-bounded-lhs-0-since;4l;0.393;0.367;0.015;0.08483;0.226197
trigger-0-bounded-lhs-0-since;4c;2.056;2.012;0.039;0.342095;1.25927
trigger-0-bounded-lhs-0-since;8n;1.078;1.046;0.020;0.190266;0.514939
trigger-0-bounded-lhs-0-since;8l;0.783;0.752;0.021;0.184454;0.474222
trigger-0-bounded-lhs-0-since;8c;9.201;9.079;0.106;1.66598;4.50517
trigger-0-bounded-lhs-0-since;baseline;0.109;0.090;0.014;0.021674;0.055653
trigger-0-bounded-lhs-0-since;2n;0.214;0.193;0.014;0.035822;0.123442
trigger-0-bounded-lhs-0-since;2l;0.203;0.184;0.010;0.046777;0.113369
trigger-0-bounded-lhs-0-since;2c;0.449;0.425;0.013;0.084016;0.286174
trigger-0-bounded-lhs-0-since;4n;0.495;0.469;0.015;0.082419;0.281705
trigger-0-bounded-lhs-0-since;4l;0.385;0.363;0.012;0.083485;0.22272
trigger-0-bounded-lhs-0-since;4c;2.069;2.025;0.030;0.346325;1.27045
trigger-0-bounded-lhs-0-since;8n;1.095;1.064;0.020;0.189021;0.519523
trigger-0-bounded-lhs-0-since;8l;0.793;0.763;0.024;0.187627;0.481262
trigger-0-bounded-lhs-0-since;8c;9.232;9.111;0.114;1.70033;4.57006
trigger-0-bounded-lhs-0-since;baseline;0.107;0.089;0.008;0.021387;0.054999
trigger-0-bounded-lhs-0-since;2n;0.214;0.193;0.015;0.035961;0.123641
trigger-0-bounded-lhs-0-since;2l;0.215;0.192;0.013;0.049988;0.119957
trigger-0-bounded-lhs-0-since;2c;0.446;0.421;0.016;0.082528;0.283456
trigger-0-bounded-lhs-0-since;4n;0.494;0.470;0.014;0.081328;0.280984
trigger-0-bounded-lhs-0-since;4l;0.389;0.363;0.015;0.083666;0.223283
trigger-0-bounded-lhs-0-since;4c;2.070;2.024;0.035;0.346373;1.26358
trigger-0-bounded-lhs-0-since;8n;1.096;1.064;0.022;0.18914;0.52174
trigger-0-bounded-lhs-0-since;8l;0.794;0.763;0.022;0.186417;0.478276
trigger-0-bounded-lhs-0-since;8c;9.255;9.135;0.107;1.69557;4.57915
trigger-0-bounded-lhs-0-since;baseline;0.109;0.090;0.014;0.021531;0.055335
trigger-0-bounded-lhs-0-since;2n;0.224;0.201;0.013;0.038027;0.129012
trigger-0-bounded-lhs-0-since;2l;0.203;0.183;0.010;0.046452;0.112677
trigger-0-bounded-lhs-0-since;2c;0.474;0.438;0.015;0.087188;0.294565
trigger-0-bounded-lhs-0-since;4n;0.493;0.469;0.014;0.081083;0.282618
trigger-0-bounded-lhs-0-since;4l;0.391;0.366;0.015;0.084494;0.226611
trigger-0-bounded-lhs-0-since;4c;2.048;2.004;0.030;0.342923;1.24835
trigger-0-bounded-lhs-0-since;8n;1.116;1.083;0.021;0.196175;0.536758
trigger-0-bounded-lhs-0-since;8l;0.796;0.766;0.023;0.186552;0.479156
trigger-0-bounded-lhs-0-since;8c;9.155;9.036;0.106;1.67634;4.50123
trigger-0-bounded-lhs-0-since;baseline;0.116;0.098;0.015;0.0236;0.060545
trigger-0-bounded-lhs-0-since;2n;0.217;0.197;0.015;0.03665;0.126327
trigger-0-bounded-lhs-0-since;2l;0.215;0.195;0.010;0.049747;0.120536
trigger-0-bounded-lhs-0-since;2c;0.439;0.417;0.012;0.082679;0.281917
trigger-0-bounded-lhs-0-since;4n;0.487;0.462;0.015;0.080601;0.27479
trigger-0-bounded-lhs-0-since;4l;0.406;0.380;0.016;0.087789;0.236172
trigger-0-bounded-lhs-0-since;4c;2.046;2.001;0.031;0.339166;1.25211
trigger-0-bounded-lhs-0-since;8n;1.098;1.067;0.020;0.193395;0.52918
trigger-0-bounded-lhs-0-since;8l;0.796;0.765;0.022;0.187568;0.481385
trigger-0-bounded-lhs-0-since;8c;9.139;9.017;0.102;1.60369;4.4333
trigger-0-bounded-lhs-0-since;baseline;0.109;0.091;0.009;0.021438;0.055587
trigger-0-bounded-lhs-0-since;2n;0.241;0.206;0.017;0.039558;0.133374
trigger-0-bounded-lhs-0-since;2l;0.208;0.187;0.011;0.048083;0.116555
trigger-0-bounded-lhs-0-since;2c;0.444;0.419;0.015;0.08315;0.282398
trigger-0-bounded-lhs-0-since;4n;0.489;0.465;0.013;0.081432;0.277469
trigger-0-bounded-lhs-0-since;4l;0.389;0.365;0.015;0.085209;0.225934
trigger-0-bounded-lhs-0-since;4c;2.064;2.019;0.036;0.345843;1.26434
trigger-0-bounded-lhs-0-since;8n;1.106;1.074;0.026;0.199387;0.53352
trigger-0-bounded-lhs-0-since;8l;0.813;0.781;0.024;0.191238;0.494542
trigger-0-bounded-lhs-0-since;8c;9.343;9.218;0.109;1.71639;4.63009
trigger-0-bounded-lhs-0-since;baseline;0.113;0.094;0.014;0.022775;0.058029
trigger-0-bounded-lhs-0-since;2n;0.217;0.196;0.016;0.037219;0.125463
trigger-0-bounded-lhs-0-since;2l;0.204;0.184;0.015;0.046827;0.114331
trigger-0-bounded-lhs-0-since;2c;0.447;0.424;0.013;0.083867;0.287374
trigger-0-bounded-lhs-0-since;4n;0.486;0.461;0.015;0.080594;0.276736
trigger-0-bounded-lhs-0-since;4l;0.382;0.358;0.018;0.08267;0.221589
trigger-0-bounded-lhs-0-since;4c;2.063;2.020;0.030;0.344438;1.26928
trigger-0-bounded-lhs-0-since;8n;1.092;1.060;0.020;0.192374;0.521383
trigger-0-bounded-lhs-0-since;8l;0.804;0.772;0.022;0.188686;0.48545
trigger-0-bounded-lhs-0-since;8c;9.201;9.073;0.115;1.64792;4.49337
trigger-0-bounded-lhs-0-since;baseline;0.117;0.096;0.017;0.022832;0.05936
